subscription_id,customer_id,plan_type,plan_mrr,subscription_start,subscription_end,churn_date,churn_reason,is_churned,renewal_count,last_renewal_date,discount_pct,contract_type
SUB_00000019,VP_C_00000018,Growth,4999.0,2023-10-15,2024-10-06,2024-10-06,Switched to competitor,True,11,2024-09-09,0,Monthly
SUB_00000020,VP_C_00000019,Growth,4999.0,2024-11-27,2026-02-16,2026-02-16,Integration issues,True,14,2026-01-21,20,Monthly
SUB_00000021,VP_C_00000020,Starter,1999.0,2025-08-01,,,,False,9,2026-04-28,10,Monthly
SUB_00000022,VP_C_00000021,Growth,4999.0,2024-12-27,2025-03-11,2025-03-11,Product missing features,True,2,2025-02-25,0,Monthly
SUB_00000023,VP_C_00000022,Enterprise,10832.5,2024-01-02,,,,False,3,2024-04-01,20,Annual
SUB_00000024,VP_C_00000023,Growth,4999.0,2023-07-16,,,,False,33,2026-04-01,20,Monthly
SUB_00000025,VP_C_00000024,Enterprise,12999.0,2023-04-03,2024-12-14,2024-12-14,Product missing features,True,20,2024-11-23,25,Monthly
SUB_00000026,VP_C_00000025,Starter,1999.0,2025-04-15,2025-09-06,2025-09-06,Business closed,True,4,2025-08-13,15,Monthly
SUB_00000027,VP_C_00000026,Growth,4165.83,2024-09-20,,,,False,2,2024-11-19,25,Annual
SUB_00000028,VP_C_00000027,Starter,1665.83,2024-10-02,,,,False,2,2024-12-01,5,Annual
SUB_00000029,VP_C_00000028,Growth,4165.83,2023-11-07,,,,False,3,2024-02-05,25,Annual
SUB_00000030,VP_C_00000029,Growth,4999.0,2025-04-07,2026-01-24,2026-01-24,,True,9,2026-01-02,0,Monthly
SUB_00000031,VP_C_00000030,Growth,4165.83,2025-01-05,,,,False,2,2025-03-06,0,Annual
SUB_00000032,VP_C_00000031,Growth,4165.83,2023-08-15,,,,False,3,2023-11-13,0,Annual
SUB_00000033,VP_C_00000032,Starter,1665.83,2023-08-28,,,,False,3,2023-11-26,25,Annual
SUB_00000034,VP_C_00000033,Starter,1999.0,2025-09-30,,,,False,7,2026-04-28,25,Monthly
SUB_00000035,VP_C_00000034,Enterprise,12999.0,2024-05-20,2024-07-10,2024-07-10,Too expensive,True,1,2024-06-19,5,Monthly
SUB_00000036,VP_C_00000035,Starter,1665.83,2025-09-17,,,,False,1,2025-10-17,0,Annual
SUB_00000037,VP_C_00000036,Starter,1665.83,2024-01-07,2024-01-21,2024-01-21,,True,0,,10,Annual
SUB_00000038,VP_C_00000037,Growth,4165.83,2023-02-07,,,,False,4,2023-06-07,0,Annual
SUB_00000039,VP_C_00000038,Growth,4999.0,2023-10-15,2024-08-07,2024-08-07,Product missing features,True,9,2024-07-11,10,Monthly
SUB_00000040,VP_C_00000039,Growth,4999.0,2024-05-19,2024-06-26,2024-06-26,,True,1,2024-06-18,5,Monthly
SUB_00000041,VP_C_00000040,Enterprise,12999.0,2025-07-15,,,,False,9,2026-04-11,0,Monthly
SUB_00000042,VP_C_00000041,Growth,4999.0,2024-12-21,,,,False,16,2026-04-15,15,Monthly
SUB_00000043,VP_C_00000042,Enterprise,10832.5,2024-12-24,,,,False,2,2025-02-22,20,Annual
SUB_00000044,VP_C_00000043,Enterprise,10832.5,2024-09-12,2024-09-18,2024-09-18,Settlement delays,True,0,,0,Annual
SUB_00000045,VP_C_00000043,Enterprise,10832.5,2024-10-26,,,,False,2,2024-11-25,15,Annual
SUB_00000046,VP_C_00000044,Starter,1999.0,2023-08-03,,,,False,33,2026-04-19,10,Monthly
SUB_00000047,VP_C_00000045,Growth,4165.83,2023-01-08,,,,False,4,2023-05-08,0,Annual
SUB_00000048,VP_C_00000046,Growth,4999.0,2023-07-20,2024-03-29,2024-03-29,Settlement delays,True,8,2024-03-16,15,Monthly
SUB_00000049,VP_C_00000046,Growth,4999.0,2024-05-16,,,,False,3,2024-06-15,20,Monthly
SUB_00000050,VP_C_00000047,Growth,4165.83,2025-04-20,,,,False,1,2025-05-20,10,Annual
SUB_00000051,VP_C_00000048,Growth,4999.0,2024-10-15,2025-09-02,2025-09-02,,True,10,2025-08-11,5,Monthly
SUB_00000052,VP_C_00000049,Growth,4999.0,2024-02-10,,,,False,26,2026-03-31,0,Monthly
SUB_00000053,VP_C_00000050,Growth,4165.83,2023-04-24,,,,False,3,2023-07-23,0,Annual
SUB_00000054,VP_C_00000051,Starter,1665.83,2025-06-09,,,,False,1,2025-07-09,0,Annual
SUB_00000055,VP_C_00000052,Starter,1665.83,2023-10-12,,,,False,3,2024-01-10,25,Annual
SUB_00000056,VP_C_00000053,Growth,4999.0,2024-08-05,2025-01-20,2025-01-20,Poor customer support,True,5,2025-01-02,0,Monthly
SUB_00000057,VP_C_00000054,Enterprise,10832.5,2024-05-27,,,,False,2,2024-07-26,25,Annual
SUB_00000058,VP_C_00000055,Enterprise,10832.5,2024-05-20,,,,False,2,2024-07-19,0,Annual
SUB_00000059,VP_C_00000056,Starter,1999.0,2023-06-24,2023-07-09,2023-07-09,,True,0,,5,Monthly
SUB_00000060,VP_C_00000057,Growth,4999.0,2024-07-19,,,,False,21,2026-04-10,0,Monthly
SUB_00000061,VP_C_00000058,Enterprise,10832.5,2023-07-18,,,,False,3,2023-10-16,0,Annual
SUB_00000062,VP_C_00000059,Growth,4999.0,2024-11-06,2025-03-19,2025-03-19,Poor customer support,True,4,2025-03-06,5,Monthly
SUB_00000063,VP_C_00000060,Growth,4165.83,2025-01-26,,,,False,2,2025-03-27,15,Annual
SUB_00000064,VP_C_00000061,Starter,1665.83,2024-08-02,,,,False,2,2024-10-01,25,Annual
SUB_00000065,VP_C_00000062,Growth,4165.83,2024-11-19,,,,False,2,2025-01-18,0,Annual
SUB_00000066,VP_C_00000063,Growth,4999.0,2024-11-29,,,,False,17,2026-04-23,5,Monthly
SUB_00000067,VP_C_00000064,Starter,1999.0,2024-09-09,2024-10-30,2024-10-30,Better deal elsewhere,True,1,2024-10-09,0,Monthly
SUB_00000068,VP_C_00000065,Growth,4999.0,2024-08-01,2024-10-20,2024-10-20,Too expensive,True,2,2024-09-30,0,Monthly
SUB_00000069,VP_C_00000065,Starter,1665.83,2025-01-15,,,,False,4,2025-02-14,20,Annual
SUB_00000070,VP_C_00000066,Enterprise,10832.5,2023-06-29,2024-07-12,2024-07-12,Too expensive,True,1,2023-07-29,0,Annual
SUB_00000071,VP_C_00000067,Starter,1665.83,2023-03-08,,,,False,4,2023-07-06,25,Annual
SUB_00000072,VP_C_00000068,Growth,4999.0,2024-08-25,2025-09-27,2025-09-27,,True,13,2025-09-19,0,Monthly
SUB_00000073,VP_C_00000068,Growth,4999.0,2025-11-13,,,,False,1,2025-12-13,10,Monthly
SUB_00000074,VP_C_00000069,Growth,4999.0,2023-05-12,2024-02-23,2024-02-23,Settlement delays,True,9,2024-02-06,15,Monthly
SUB_00000075,VP_C_00000070,Growth,4999.0,2025-02-02,,,,False,15,2026-04-28,0,Monthly
SUB_00000076,VP_C_00000071,Enterprise,10832.5,2023-03-08,,,,False,4,2023-07-06,20,Annual
SUB_00000077,VP_C_00000072,Starter,1665.83,2023-05-11,,,,False,3,2023-08-09,0,Annual
SUB_00000078,VP_C_00000073,Starter,1999.0,2023-09-23,2023-12-03,2023-12-03,Too expensive,True,2,2023-11-22,0,Monthly
SUB_00000079,VP_C_00000074,Starter,1665.83,2025-08-13,,,,False,1,2025-09-12,15,Annual
SUB_00000080,VP_C_00000075,Starter,1999.0,2024-08-06,,,,False,21,2026-04-28,0,Monthly
SUB_00000081,VP_C_00000076,Starter,1665.83,2025-05-26,,,,False,1,2025-06-25,15,Annual
SUB_00000082,VP_C_00000077,Enterprise,10832.5,2023-08-22,,,,False,3,2023-11-20,5,Annual
SUB_00000083,VP_C_00000078,Growth,4999.0,2025-06-21,,,,False,10,2026-04-17,25,Monthly
SUB_00000084,VP_C_00000079,Growth,4165.83,2024-06-19,,,,False,2,2024-08-18,15,Annual
SUB_00000085,VP_C_00000080,Enterprise,10832.5,2025-01-16,,,,False,2,2025-03-17,0,Annual
SUB_00000086,VP_C_00000081,Growth,4165.83,2025-03-12,,,,False,2,2025-05-11,10,Annual
SUB_00000087,VP_C_00000082,Enterprise,10832.5,2023-10-08,,,,False,3,2024-01-06,0,Annual
SUB_00000088,VP_C_00000083,Growth,4999.0,2023-07-16,2024-01-07,2024-01-07,Poor customer support,True,5,2023-12-13,10,Monthly
SUB_00000089,VP_C_00000084,Enterprise,12999.0,2025-05-18,2025-10-01,2025-10-01,Settlement delays,True,4,2025-09-15,15,Monthly
SUB_00000090,VP_C_00000085,Enterprise,12999.0,2024-11-25,2025-10-19,2025-10-19,Business closed,True,10,2025-09-21,5,Monthly
SUB_00000091,VP_C_00000086,Growth,4999.0,2023-01-24,2023-06-14,2023-06-14,Poor customer support,True,4,2023-05-24,15,Monthly
SUB_00000092,VP_C_00000087,Growth,4165.83,2025-09-20,,,,False,1,2025-10-20,5,Annual
SUB_00000093,VP_C_00000088,Growth,4999.0,2024-12-10,2026-01-18,2026-01-18,Poor customer support,True,13,2026-01-04,20,Monthly
SUB_00000094,VP_C_00000089,Enterprise,12999.0,2024-11-25,2026-03-11,2026-03-11,Too expensive,True,15,2026-02-18,15,Monthly
SUB_00000095,VP_C_00000090,Growth,4999.0,2024-06-29,2026-03-26,2026-03-26,Product missing features,True,21,2026-03-21,15,Monthly
SUB_00000096,VP_C_00000091,Growth,4165.83,2024-09-21,,,,False,2,2024-11-20,25,Annual
SUB_00000097,VP_C_00000092,Growth,4999.0,2023-09-16,2023-09-27,2023-09-27,Product missing features,True,0,,0,Monthly
SUB_00000098,VP_C_00000093,Starter,1665.83,2024-11-28,,,,False,2,2025-01-27,0,Annual
SUB_00000099,VP_C_00000094,Starter,1999.0,2024-07-27,2025-09-13,2025-09-13,Poor customer support,True,13,2025-08-21,0,Monthly
SUB_00000100,VP_C_00000095,Enterprise,12999.0,2025-06-23,2026-01-31,2026-01-31,Better deal elsewhere,True,7,2026-01-19,0,Monthly
SUB_00000101,VP_C_00000096,Starter,1999.0,2024-04-09,2025-09-18,2025-09-18,,True,17,2025-09-01,25,Monthly
SUB_00000102,VP_C_00000097,Starter,1999.0,2023-01-03,2023-12-14,2023-12-14,Poor customer support,True,11,2023-11-29,25,Monthly
SUB_00000103,VP_C_00000097,Starter,1999.0,2024-02-13,,,,False,1,2024-03-14,0,Monthly
SUB_00000104,VP_C_00000098,Starter,1999.0,2025-08-18,,,,False,8,2026-04-15,0,Monthly
SUB_00000105,VP_C_00000099,Growth,4999.0,2024-03-13,2024-04-19,2024-04-19,,True,1,2024-04-12,0,Monthly
SUB_00000106,VP_C_00000100,Growth,4165.83,2024-10-18,,,,False,2,2024-12-17,0,Annual
SUB_00000107,VP_C_00000101,Starter,1999.0,2024-11-20,2025-04-27,2025-04-27,Business closed,True,5,2025-04-19,10,Monthly
SUB_00000108,VP_C_00000101,Enterprise,12999.0,2025-07-16,,,,False,4,2025-08-15,10,Monthly
SUB_00000109,VP_C_00000102,Enterprise,12999.0,2025-08-23,,,,False,8,2026-04-20,15,Monthly
SUB_00000110,VP_C_00000103,Growth,4999.0,2024-10-27,2025-04-04,2025-04-04,Integration issues,True,5,2025-03-26,10,Monthly
SUB_00000111,VP_C_00000104,Enterprise,12999.0,2023-02-23,2023-05-04,2023-05-04,Business closed,True,2,2023-04-24,0,Monthly
SUB_00000112,VP_C_00000105,Starter,1999.0,2025-05-24,2025-12-17,2025-12-17,Better deal elsewhere,True,6,2025-11-20,15,Monthly
SUB_00000113,VP_C_00000106,Enterprise,10832.5,2025-08-19,2025-08-29,2025-08-29,Business closed,True,0,,0,Annual
SUB_00000114,VP_C_00000107,Growth,4165.83,2023-11-27,,,,False,3,2024-02-25,0,Annual
SUB_00000115,VP_C_00000108,Starter,1665.83,2024-03-18,,,,False,3,2024-06-16,25,Annual
SUB_00000116,VP_C_00000109,Growth,4999.0,2025-05-14,2025-08-17,2025-08-17,Settlement delays,True,3,2025-08-12,0,Monthly
SUB_00000117,VP_C_00000110,Growth,4165.83,2024-02-21,2025-02-28,2025-02-28,,True,1,2024-03-22,20,Annual
SUB_00000118,VP_C_00000111,Enterprise,12999.0,2023-10-08,2025-07-09,2025-07-09,,True,21,2025-06-29,20,Monthly
SUB_00000119,VP_C_00000112,Growth,4999.0,2023-05-05,2023-08-30,2023-08-30,Better deal elsewhere,True,3,2023-08-03,0,Monthly
SUB_00000120,VP_C_00000113,Growth,4999.0,2024-11-27,,,,False,17,2026-04-21,25,Monthly
SUB_00000121,VP_C_00000114,Growth,4999.0,2024-06-14,,,,False,22,2026-04-05,10,Monthly
SUB_00000122,VP_C_00000115,Growth,4165.83,2024-04-22,,,,False,2,2024-06-21,0,Annual
SUB_00000123,VP_C_00000116,Starter,1665.83,2024-05-22,,,,False,2,2024-07-21,20,Annual
SUB_00000124,VP_C_00000117,Growth,4999.0,2024-01-06,,,,False,28,2026-04-25,5,Monthly
SUB_00000125,VP_C_00000118,Enterprise,12999.0,2024-06-13,2024-07-24,2024-07-24,Poor customer support,True,1,2024-07-13,25,Monthly
SUB_00000126,VP_C_00000119,Starter,1999.0,2025-02-16,2025-06-30,2025-06-30,Too expensive,True,4,2025-06-16,0,Monthly
SUB_00000127,VP_C_00000120,Growth,4999.0,2023-02-14,2025-12-09,2025-12-09,Better deal elsewhere,True,34,2025-11-30,25,Monthly
SUB_00000128,VP_C_00000121,Enterprise,12999.0,2025-06-24,,,,False,10,2026-04-20,5,Monthly
SUB_00000129,VP_C_00000122,Enterprise,10832.5,2025-01-08,,,,False,2,2025-03-09,20,Annual
SUB_00000130,VP_C_00000123,Growth,4165.83,2023-08-18,,,,False,3,2023-11-16,0,Annual
SUB_00000131,VP_C_00000124,Growth,4165.83,2023-02-18,,,,False,4,2023-06-18,25,Annual
SUB_00000132,VP_C_00000125,Enterprise,10832.5,2023-10-12,,,,False,3,2024-01-10,0,Annual
SUB_00000133,VP_C_00000126,Growth,4999.0,2025-07-29,,,,False,9,2026-04-25,5,Monthly
SUB_00000134,VP_C_00000127,Growth,4999.0,2024-03-06,,,,False,26,2026-04-25,25,Monthly
SUB_00000135,VP_C_00000128,Enterprise,10832.5,2024-06-29,,,,False,2,2024-08-28,0,Annual
SUB_00000136,VP_C_00000129,Starter,1665.83,2024-04-04,,,,False,2,2024-06-03,10,Annual
SUB_00000137,VP_C_00000130,Starter,1999.0,2023-11-20,2024-03-03,2024-03-03,,True,3,2024-02-18,20,Monthly
SUB_00000138,VP_C_00000130,Enterprise,12999.0,2024-05-20,,,,False,4,2024-06-19,20,Monthly
SUB_00000139,VP_C_00000131,Growth,4999.0,2023-01-06,2023-05-22,2023-05-22,Better deal elsewhere,True,4,2023-05-06,20,Monthly
SUB_00000140,VP_C_00000132,Starter,1999.0,2024-02-06,2024-10-31,2024-10-31,Product missing features,True,8,2024-10-03,15,Monthly
SUB_00000141,VP_C_00000133,Enterprise,10832.5,2023-07-19,,,,False,3,2023-10-17,15,Annual
SUB_00000142,VP_C_00000134,Growth,4999.0,2023-12-09,2024-10-16,2024-10-16,Too expensive,True,10,2024-10-04,0,Monthly
SUB_00000143,VP_C_00000134,Starter,1999.0,2024-12-07,,,,False,2,2025-01-06,10,Monthly
SUB_00000144,VP_C_00000135,Growth,4999.0,2023-03-25,,,,False,37,2026-04-08,0,Monthly
SUB_00000145,VP_C_00000136,Starter,1999.0,2025-06-20,,,,False,10,2026-04-16,0,Monthly
SUB_00000146,VP_C_00000137,Growth,4999.0,2024-08-08,2025-03-23,2025-03-23,Settlement delays,True,7,2025-03-06,0,Monthly
SUB_00000147,VP_C_00000138,Growth,4165.83,2025-04-07,,,,False,1,2025-05-07,15,Annual
SUB_00000148,VP_C_00000139,Enterprise,10832.5,2023-01-26,,,,False,4,2023-05-26,0,Annual
SUB_00000149,VP_C_00000140,Growth,4999.0,2025-01-25,2025-11-08,2025-11-08,Product missing features,True,9,2025-10-22,0,Monthly
SUB_00000150,VP_C_00000141,Growth,4999.0,2023-08-20,2026-01-31,2026-01-31,Business closed,True,29,2026-01-06,15,Monthly
SUB_00000151,VP_C_00000142,Enterprise,12999.0,2025-09-28,,,,False,7,2026-04-26,15,Monthly
SUB_00000152,VP_C_00000143,Enterprise,12999.0,2024-12-07,,,,False,16,2026-04-01,25,Monthly
SUB_00000153,VP_C_00000144,Enterprise,10832.5,2024-03-09,,,,False,3,2024-06-07,25,Annual
SUB_00000154,VP_C_00000145,Growth,4165.83,2025-09-07,,,,False,1,2025-10-07,20,Annual
SUB_00000155,VP_C_00000146,Starter,1999.0,2023-03-18,2023-11-04,2023-11-04,,True,7,2023-10-14,20,Monthly
SUB_00000156,VP_C_00000147,Enterprise,12999.0,2025-07-28,,,,False,9,2026-04-24,0,Monthly
SUB_00000157,VP_C_00000148,Growth,4165.83,2023-09-13,,,,False,3,2023-12-12,10,Annual
SUB_00000158,VP_C_00000149,Growth,4999.0,2023-07-21,2023-10-24,2023-10-24,Too expensive,True,3,2023-10-19,0,Monthly
SUB_00000159,VP_C_00000149,Growth,4999.0,2023-12-25,,,,False,4,2024-01-24,10,Monthly
SUB_00000160,VP_C_00000150,Growth,4999.0,2023-06-18,2025-06-28,2025-06-28,Settlement delays,True,24,2025-06-07,25,Monthly
SUB_00000161,VP_C_00000151,Growth,4999.0,2023-12-04,,,,False,29,2026-04-22,15,Monthly
SUB_00000162,VP_C_00000152,Growth,4999.0,2023-11-15,2026-02-22,2026-02-22,Business closed,True,27,2026-02-02,20,Monthly
SUB_00000163,VP_C_00000153,Enterprise,10832.5,2023-03-06,,,,False,4,2023-07-04,15,Annual
SUB_00000164,VP_C_00000154,Growth,4999.0,2024-10-03,,,,False,19,2026-04-26,0,Monthly
SUB_00000165,VP_C_00000155,Growth,4999.0,2024-10-02,2025-01-27,2025-01-27,Settlement delays,True,3,2024-12-31,15,Monthly
SUB_00000166,VP_C_00000156,Growth,4165.83,2023-04-10,,,,False,3,2023-07-09,25,Annual
SUB_00000167,VP_C_00000157,Enterprise,12999.0,2023-01-29,2024-03-10,2024-03-10,Better deal elsewhere,True,13,2024-02-23,0,Monthly
SUB_00000168,VP_C_00000158,Growth,4165.83,2024-05-06,,,,False,2,2024-07-05,20,Annual
SUB_00000169,VP_C_00000159,Enterprise,12999.0,2024-03-18,,,,False,25,2026-04-07,0,Monthly
SUB_00000170,VP_C_00000160,Enterprise,10832.5,2025-04-07,,,,False,1,2025-05-07,10,Annual
SUB_00000171,VP_C_00000161,Starter,1999.0,2023-01-25,2023-12-28,2023-12-28,Switched to competitor,True,11,2023-12-21,20,Monthly
SUB_00000172,VP_C_00000162,Growth,4999.0,2024-08-29,,,,False,20,2026-04-21,0,Monthly
SUB_00000173,VP_C_00000163,Growth,4999.0,2025-03-27,,,,False,13,2026-04-21,15,Monthly
SUB_00000174,VP_C_00000164,Starter,1999.0,2024-10-03,2026-02-05,2026-02-05,Settlement delays,True,16,2026-01-26,15,Monthly
SUB_00000175,VP_C_00000165,Starter,1665.83,2025-08-15,2025-08-30,2025-08-30,Product missing features,True,0,,10,Annual
SUB_00000176,VP_C_00000165,Enterprise,12999.0,2025-10-16,,,,False,1,2025-11-15,20,Monthly
SUB_00000177,VP_C_00000166,Enterprise,10832.5,2023-12-09,,,,False,3,2024-03-08,5,Annual
SUB_00000178,VP_C_00000167,Growth,4999.0,2025-05-10,,,,False,11,2026-04-05,0,Monthly
SUB_00000179,VP_C_00000168,Enterprise,12999.0,2023-09-14,2023-10-29,2023-10-29,Poor customer support,True,1,2023-10-14,20,Monthly
SUB_00000180,VP_C_00000169,Growth,4999.0,2023-09-11,2026-03-14,2026-03-14,,True,30,2026-02-27,0,Monthly
SUB_00000181,VP_C_00000170,Enterprise,10832.5,2023-04-21,2023-05-01,2023-05-01,Business closed,True,0,,0,Annual
SUB_00000182,VP_C_00000171,Growth,4999.0,2024-04-29,,,,False,24,2026-04-19,10,Monthly
SUB_00000183,VP_C_00000172,Growth,4165.83,2023-09-02,,,,False,3,2023-12-01,0,Annual
SUB_00000184,VP_C_00000173,Enterprise,12999.0,2025-09-08,,,,False,7,2026-04-06,25,Monthly
SUB_00000185,VP_C_00000174,Enterprise,12999.0,2023-12-15,2025-09-23,2025-09-23,Integration issues,True,21,2025-09-05,20,Monthly
SUB_00000186,VP_C_00000175,Growth,4999.0,2025-05-02,,,,False,12,2026-04-27,5,Monthly
SUB_00000187,VP_C_00000176,Enterprise,12999.0,2023-02-25,2023-08-14,2023-08-14,Switched to competitor,True,5,2023-07-25,0,Monthly
SUB_00000188,VP_C_00000176,Growth,4999.0,2023-10-24,,,,False,4,2023-11-23,10,Monthly
SUB_00000189,VP_C_00000177,Growth,4165.83,2025-04-21,,,,False,1,2025-05-21,0,Annual
SUB_00000190,VP_C_00000178,Growth,4999.0,2023-12-08,2024-04-30,2024-04-30,,True,4,2024-04-06,25,Monthly
SUB_00000191,VP_C_00000179,Enterprise,12999.0,2024-06-16,,,,False,22,2026-04-07,20,Monthly
SUB_00000192,VP_C_00000180,Growth,4999.0,2025-03-24,2025-04-19,2025-04-19,Poor customer support,True,0,,25,Monthly
SUB_00000193,VP_C_00000181,Enterprise,10832.5,2023-08-31,,,,False,3,2023-11-29,10,Annual
SUB_00000194,VP_C_00000182,Growth,4999.0,2025-08-24,,,,False,8,2026-04-21,0,Monthly
SUB_00000195,VP_C_00000183,Enterprise,10832.5,2023-03-16,,,,False,4,2023-07-14,15,Annual
SUB_00000196,VP_C_00000184,Starter,1999.0,2025-03-05,,,,False,14,2026-04-29,0,Monthly
SUB_00000197,VP_C_00000185,Growth,4165.83,2024-09-06,,,,False,2,2024-11-05,10,Annual
SUB_00000198,VP_C_00000186,Growth,4999.0,2024-09-26,,,,False,19,2026-04-19,25,Monthly
SUB_00000199,VP_C_00000187,Growth,4165.83,2024-03-25,,,,False,3,2024-06-23,5,Annual
SUB_00000200,VP_C_00000188,Enterprise,12999.0,2025-02-21,,,,False,14,2026-04-17,25,Monthly
SUB_00000201,VP_C_00000189,Starter,1665.83,2023-04-08,,,,False,3,2023-07-07,20,Annual
SUB_00000202,VP_C_00000190,Growth,4999.0,2024-10-02,2024-12-26,2024-12-26,,True,2,2024-12-01,5,Monthly
SUB_00000203,VP_C_00000191,Enterprise,10832.5,2024-04-02,,,,False,2,2024-06-01,0,Annual
SUB_00000204,VP_C_00000192,Starter,1999.0,2024-08-15,2024-10-05,2024-10-05,Business closed,True,1,2024-09-14,20,Monthly
SUB_00000205,VP_C_00000192,Enterprise,10832.5,2024-11-16,,,,False,3,2024-12-16,10,Annual
SUB_00000206,VP_C_00000193,Growth,4165.83,2023-05-08,,,,False,3,2023-08-06,20,Annual
SUB_00000207,VP_C_00000194,Growth,4999.0,2023-03-29,2024-11-13,2024-11-13,,True,19,2024-10-19,25,Monthly
SUB_00000208,VP_C_00000195,Growth,4999.0,2025-09-24,,,,False,7,2026-04-22,20,Monthly
SUB_00000209,VP_C_00000196,Starter,1665.83,2023-03-04,2025-03-15,2025-03-15,Poor customer support,True,2,2023-05-03,0,Annual
SUB_00000210,VP_C_00000197,Growth,4165.83,2025-07-27,,,,False,1,2025-08-26,5,Annual
SUB_00000211,VP_C_00000198,Growth,4999.0,2023-02-04,2023-11-13,2023-11-13,Integration issues,True,9,2023-11-01,25,Monthly
SUB_00000212,VP_C_00000199,Growth,4999.0,2024-01-22,2024-09-07,2024-09-07,Product missing features,True,7,2024-08-19,10,Monthly
SUB_00000213,VP_C_00000200,Growth,4999.0,2023-11-17,2024-04-09,2024-04-09,,True,4,2024-03-16,20,Monthly
SUB_00000214,VP_C_00000201,Growth,4165.83,2025-06-30,,,,False,1,2025-07-30,0,Annual
SUB_00000215,VP_C_00000202,Enterprise,12999.0,2025-05-18,2025-09-30,2025-09-30,Too expensive,True,4,2025-09-15,10,Monthly
SUB_00000216,VP_C_00000203,Growth,4999.0,2024-12-11,,,,False,16,2026-04-05,25,Monthly
SUB_00000217,VP_C_00000204,Growth,4999.0,2023-03-08,2024-01-22,2024-01-22,Switched to competitor,True,10,2024-01-02,0,Monthly
SUB_00000218,VP_C_00000205,Growth,4999.0,2025-03-12,2026-02-20,2026-02-20,Too expensive,True,11,2026-02-05,10,Monthly
SUB_00000219,VP_C_00000206,Enterprise,12999.0,2023-05-11,2023-07-28,2023-07-28,,True,2,2023-07-10,0,Monthly
SUB_00000220,VP_C_00000207,Enterprise,10832.5,2023-03-05,2023-03-20,2023-03-20,Switched to competitor,True,0,,0,Annual
SUB_00000221,VP_C_00000207,Enterprise,12999.0,2023-05-28,,,,False,5,2023-06-27,0,Monthly
SUB_00000222,VP_C_00000208,Enterprise,10832.5,2025-07-30,,,,False,1,2025-08-29,15,Annual
SUB_00000223,VP_C_00000209,Enterprise,10832.5,2025-04-01,,,,False,1,2025-05-01,0,Annual
SUB_00000224,VP_C_00000210,Enterprise,12999.0,2024-03-28,2025-12-10,2025-12-10,Too expensive,True,20,2025-11-18,15,Monthly
SUB_00000225,VP_C_00000211,Growth,4999.0,2023-02-26,2023-10-12,2023-10-12,Poor customer support,True,7,2023-09-24,20,Monthly
SUB_00000226,VP_C_00000212,Growth,4165.83,2023-11-05,,,,False,3,2024-02-03,10,Annual
SUB_00000227,VP_C_00000213,Starter,1999.0,2024-09-17,,,,False,19,2026-04-10,5,Monthly
SUB_00000228,VP_C_00000214,Starter,1999.0,2024-10-03,2024-12-11,2024-12-11,Too expensive,True,2,2024-12-02,15,Monthly
